City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Prince Rupert,54.32,-130.32,53.6,23,1,11.41,CA,2020-04-12 01:18:29
70,Pisco,-13.7,-76.22,73.99,78,75,8.05,PE,2020-04-12 01:18:30
71,Slave Lake,55.28,-114.77,28.4,58,90,9.17,CA,2020-04-12 01:15:18
72,Clyde River,70.47,-68.59,1.4,91,40,16.11,CA,2020-04-12 01:18:30
73,Praya,14.92,-23.51,75.2,73,80,8.05,CV,2020-04-12 01:18:33
74,Kavieng,-2.57,150.8,83.71,71,86,0.76,PG,2020-04-12 01:18:34
75,Noumea,-22.28,166.46,87.8,45,38,9.17,NC,2020-04-12 01:18:37
76,Quelimane,-17.88,36.89,73.4,94,20,3.31,MZ,2020-04-12 01:18:38
77,Sovetskiy,61.36,63.58,34.38,91,100,4.36,RU,2020-04-12 01:18:39
78,Kathu,7.92,98.33,84.2,70,20,9.17,TH,2020-04-12 01:18:39
79,Seoul,37.57,126.98,55.4,57,1,4.7,KR,2020-04-12 01:14:27
80,Awbari,26.59,12.78,69.24,22,0,10.33,LY,2020-04-12 01:18:44
81,Saint-Philippe,-21.36,55.77,73.4,78,51,5.82,RE,2020-04-12 01:18:44
82,Georgetown,5.41,100.34,86.0,79,20,5.82,MY,2020-04-12 01:18:44
83,Katsuura,35.13,140.3,59.0,81,75,11.41,JP,2020-04-12 01:18:45
84,Lasa,46.62,10.7,52.0,80,5,5.82,IT,2020-04-12 01:18:45
85,Barsovo,61.17,73.17,39.2,69,44,6.71,RU,2020-04-12 01:18:45
86,Vaini,-21.2,-175.2,80.6,65,20,6.93,TO,2020-04-12 01:18:46
87,Port Hedland,-20.32,118.57,87.8,48,6,11.41,AU,2020-04-12 01:18:46
88,Ponta Do Sol,32.67,-17.1,62.6,67,40,12.75,PT,2020-04-12 01:18:46
89,Pskov,57.81,28.35,26.6,92,82,4.47,RU,2020-04-12 01:18:47
90,Pochutla,15.74,-96.47,82.4,83,40,8.05,MX,2020-04-12 01:18:16
91,Qaqortoq,60.72,-46.03,46.4,36,100,39.15,GL,2020-04-12 01:18:47
92,Kushmurun,52.45,64.63,39.97,82,95,8.01,KZ,2020-04-12 01:18:47
93,Bredasdorp,-34.53,20.04,66.2,68,100,13.87,ZA,2020-04-12 01:18:48
94,Ilulissat,69.22,-51.1,26.6,73,95,14.99,GL,2020-04-12 01:18:48
95,Barrow,71.29,-156.79,26.6,86,90,18.34,US,2020-04-12 01:17:36
96,Kimbe,-5.55,150.14,88.93,61,8,2.33,PG,2020-04-12 01:16:55
97,Castro,-24.79,-50.01,56.14,72,15,4.54,BR,2020-04-12 01:18:49
98,Verkhnetulomskiy,68.61,31.8,15.8,85,38,2.24,RU,2020-04-12 01:18:49
99,Belmonte,-15.86,-38.88,77.0,94,75,3.36,BR,2020-04-12 01:18:49
100,Vila,42.03,-8.16,55.0,100,90,2.24,PT,2020-04-12 01:18:50
101,Norman Wells,65.28,-126.83,28.4,50,20,6.93,CA,2020-04-12 01:18:50
102,Ribeira Grande,38.52,-28.7,61.5,74,0,7.9,PT,2020-04-12 01:18:50
103,Tiksi,71.69,128.87,7.72,91,59,17.87,RU,2020-04-12 01:18:22
104,Burns Lake,54.23,-125.75,40.95,45,11,3.29,CA,2020-04-12 01:15:13
105,Lac-Megantic,45.58,-70.88,34.0,55,90,6.93,CA,2020-04-12 01:18:51
106,Kieta,-6.22,155.63,85.77,67,84,2.62,PG,2020-04-12 01:18:51
107,Umm Lajj,25.02,37.27,68.04,52,18,9.95,SA,2020-04-12 01:18:51
108,Tasiilaq,65.61,-37.64,24.8,62,90,8.05,GL,2020-04-12 01:17:45
109,Lebu,-37.62,-73.65,53.4,70,0,15.01,CL,2020-04-12 01:18:52
110,Charyshskoye,51.4,83.56,34.25,69,0,2.39,RU,2020-04-12 01:18:52
111,Lavrentiya,65.58,-171.0,32.22,97,96,11.36,RU,2020-04-12 01:17:46
112,Aklavik,68.22,-135.01,21.2,53,5,6.93,CA,2020-04-12 01:18:52
113,Hearst,49.68,-83.67,34.36,82,98,7.31,CA,2020-04-12 01:14:38
114,Port Elizabeth,-33.92,25.57,66.2,52,78,5.82,ZA,2020-04-12 01:15:05
115,Mount Isa,-20.73,139.5,84.2,13,1,11.41,AU,2020-04-12 01:18:56
116,Alta Floresta,-9.88,-56.09,73.51,88,90,2.3,BR,2020-04-12 01:18:56
117,Gweta,-20.18,25.23,75.47,37,75,3.74,BW,2020-04-12 01:15:06
118,Bethel,41.37,-73.41,48.99,48,1,6.78,US,2020-04-12 01:18:57
119,Arman,59.7,150.17,23.63,92,85,4.05,RU,2020-04-12 01:18:57
120,Saint John,45.27,-66.07,36.0,83,75,6.93,CA,2020-04-12 01:15:48
121,Atambua,-9.11,124.89,77.88,73,74,2.42,ID,2020-04-12 01:18:58
122,Pekalongan,-6.89,109.68,80.24,74,56,2.98,ID,2020-04-12 01:18:58
